iter	Passed	Remaining
739	4118	1447
740	4125	1442
741	4131	1436
742	4137	1431
743	4143	1425
744	4149	1420
745	4156	1415
746	4161	1409
747	4167	1404
748	4173	1398
749	4180	1393
750	4186	1388
751	4191	1382
752	4196	1376
753	4201	1370
754	4206	1364
755	4211	1359
756	4215	1353
757	4221	1347
758	4226	1341
759	4230	1336
760	4236	1330
761	4241	1324
762	4246	1318
763	4251	1313
764	4256	1307
765	4260	1301
766	4265	1295
767	4271	1290
768	4275	1284
769	4280	1278
770	4286	1273
771	4292	1267
772	4298	1262
773	4303	1256
774	4307	1250
775	4313	1245
776	4318	1239
777	4323	1233
778	4327	1227
779	4333	1222
780	4337	1216
781	4342	1210
782	4348	1205
783	4353	1199
784	4358	1193
785	4365	1188
786	4369	1182
787	4375	1177
788	4380	1171
789	4386	1165
790	4392	1160
791	4398	1155
792	4404	1149
793	4409	1144
794	4415	1138
795	4421	1133
796	4427	1127
797	4433	1122
798	4439	1116
799	4444	1111
800	4451	1105
801	4457	1100
802	4464	1095
803	4470	1089
804	4477	1084
805	4484	1079
806	4491	1074
807	4497	1068
808	4503	1063
809	4510	1057
810	4516	1052
811	4522	1047
812	4529	1041
813	4536	1036
814	4543	1031
815	4549	1025
816	4554	1020
817	4560	1014
818	4565	1008
819	4571	1003
820	4578	998
821	4583	992
822	4588	986
823	4593	981
824	4600	975
825	4606	970
826	4611	964
827	4616	959
828	4624	953
829	4629	948
830	4634	942
831	4639	936
832	4645	931
833	4650	925
834	4656	920
835	4663	914
836	4667	909
837	4673	903
838	4679	897
839	4684	892
840	4690	886
841	4695	881
842	4701	875
843	4708	870
844	4713	864
845	4720	859
846	4725	853
847	4730	847
848	4736	842
849	4740	836
850	4746	831
851	4751	825
852	4756	819
853	4762	814
854	4768	808
855	4772	802
856	4779	797
857	4784	791
858	4789	786
859	4795	780
860	4800	775
861	4806	769
862	4811	763
863	4817	758
864	4824	752
865	4829	747
866	4834	741
867	4839	735
868	4845	730
869	4850	724
870	4855	719
871	4860	713
872	4867	708
873	4872	702
874	4881	697
875	4887	691
876	4893	686
877	4900	680
878	4906	675
879	4914	670
880	4919	664
881	4924	658
882	4930	653
883	4934	647
884	4939	641
885	4946	636
886	4951	630
887	4955	625
888	4962	619
889	4967	614
890	4972	608
891	4978	602
892	4983	597
893	4988	591
894	4994	586
895	5000	580
896	5006	574
897	5012	569
898	5017	563
899	5023	558
900	5029	552
901	5034	546
902	5039	541
903	5044	535
904	5050	530
905	5054	524
906	5060	518
907	5066	513
908	5070	507
909	5077	502
910	5082	496
911	5087	490
912	5093	485
913	5100	479
914	5106	474
915	5111	468
